"covariateId","covariateName","analysisId","conceptId","covariateValue"
23986152,"Condition occurrence record observed during 30d on or prior to cohort index within condition group:  23986-Disorder of pituitary gland",102,23986,0
23986251,"Condition era record observed during anytime on or prior to cohort index within condition group:  23986-Disorder of pituitary gland",201,23986,0
24134101,"Condition occurrence record observed during 365d on or prior to cohort index:  24134-Neck pain",101,24134,0
24134102,"Condition occurrence record observed during 30d on or prior to cohort index:  24134-Neck pain",102,24134,0
24134103,"Condition occurrence record of primary inpatient diagnosis observed during 180d on or prior to cohort index:  24134-Neck pain",103,24134,0
24134201,"Condition era record observed during anytime on or prior to cohort index:    24134-Neck pain",201,24134,0
24134202,"Condition era record observed concurrent (overlapping) with cohort index:    24134-Neck pain",202,24134,0
24230101,"Condition occurrence record observed during 365d on or prior to cohort index:  24230-Foreign body in larynx",101,24230,0
24230102,"Condition occurrence record observed during 30d on or prior to cohort index:  24230-Foreign body in larynx",102,24230,0
24230201,"Condition era record observed during anytime on or prior to cohort index:    24230-Foreign body in larynx",201,24230,0
24602201,"Condition era record observed during anytime on or prior to cohort index:    24602-Benign neoplasm of esophagus",201,24602,0
24609101,"Condition occurrence record observed during 365d on or prior to cohort index:  24609-Hypoglycemia",101,24609,0
24609102,"Condition occurrence record observed during 30d on or prior to cohort index:  24609-Hypoglycemia",102,24609,0
24609103,"Condition occurrence record of primary inpatient diagnosis observed during 180d on or prior to cohort index:  24609-Hypoglycemia",103,24609,0
24609201,"Condition era record observed during anytime on or prior to cohort index:    24609-Hypoglycemia",201,24609,0
24609202,"Condition era record observed concurrent (overlapping) with cohort index:    24609-Hypoglycemia",202,24609,0
24660101,"Condition occurrence record observed during 365d on or prior to cohort index:  24660-Acute tonsillitis",101,24660,0
24660201,"Condition era record observed during anytime on or prior to cohort index:    24660-Acute tonsillitis",201,24660,0
24818151,"Condition occurrence record observed during 365d on or prior to cohort index within condition group:  24818-Injury of neck",101,24818,0
24818152,"Condition occurrence record observed during 30d on or prior to cohort index within condition group:  24818-Injury of neck",102,24818,0
24818153,"Condition occurrence record of primary inpatient diagnosis observed during 180d on or prior to cohort index within condition group:  24818-Injury of neck",103,24818,0
24818251,"Condition era record observed during anytime on or prior to cohort index within condition group:  24818-Injury of neck",201,24818,0
24818252,"Condition era record observed concurrent (overlapping) with cohort index within condition group:  24818-Injury of neck",202,24818,0
24966151,"Condition occurrence record observed during 365d on or prior to cohort index within condition group:  24966-Esophageal varices",101,24966,0
24966251,"Condition era record observed during anytime on or prior to cohort index within condition group:  24966-Esophageal varices",201,24966,0
24969151,"Condition occurrence record observed during 365d on or prior to cohort index within condition group:  24969-Laryngitis",101,24969,0
24969251,"Condition era record observed during anytime on or prior to cohort index within condition group:  24969-Laryngitis",201,24969,0
24970101,"Condition occurrence record observed during 365d on or prior to cohort index:  24970-Chronic laryngitis",101,24970,0
24970201,"Condition era record observed during anytime on or prior to cohort index:    24970-Chronic laryngitis",201,24970,0
25297101,"Condition occurrence record observed during 365d on or prior to cohort index:  25297-Acute pharyngitis",101,25297,0
25297102,"Condition occurrence record observed during 30d on or prior to cohort index:  25297-Acute pharyngitis",102,25297,0
25297151,"Condition occurrence record observed during 365d on or prior to cohort index within condition group:  25297-Acute pharyngitis",101,25297,0
25297201,"Condition era record observed during anytime on or prior to cohort index:    25297-Acute pharyngitis",201,25297,0
25297202,"Condition era record observed concurrent (overlapping) with cohort index:    25297-Acute pharyngitis",202,25297,0
25297251,"Condition era record observed during anytime on or prior to cohort index within condition group:  25297-Acute pharyngitis",201,25297,0
25518201,"Condition era record observed during anytime on or prior to cohort index:    25518-Sickle cell trait",201,25518,0
25572151,"Condition occurrence record observed during 365d on or prior to cohort index within condition group:  25572-Disorder of salivary gland",101,25572,0
25572251,"Condition era record observed during anytime on or prior to cohort index within condition group:  25572-Disorder of salivary gland",201,25572,0
25844101,"Condition occurrence record observed during 365d on or prior to cohort index:  25844-Ulcer of esophagus",101,25844,0
25844201,"Condition era record observed during anytime on or prior to cohort index:    25844-Ulcer of esophagus",201,25844,0
26052201,"Condition era record observed during anytime on or prior to cohort index:    26052-Primary malignant neoplasm of larynx",201,26052,0
26459101,"Condition occurrence record observed during 365d on or prior to cohort index:  26459-Acute esophagitis",101,26459,0
26459201,"Condition era record observed during anytime on or prior to cohort index:    26459-Acute esophagitis",201,26459,0
26662101,"Condition occurrence record observed during 365d on or prior to cohort index:  26662-Testicular hypofunction",101,26662,0
26662201,"Condition era record observed during anytime on or prior to cohort index:    26662-Testicular hypofunction",201,26662,0
26727101,"Condition occurrence record observed during 365d on or prior to cohort index:  26727-Hematemesis",101,26727,0
26727102,"Condition occurrence record observed during 30d on or prior to cohort index:  26727-Hematemesis",102,26727,0
26727103,"Condition occurrence record of primary inpatient diagnosis observed during 180d on or prior to cohort index:  26727-Hematemesis",103,26727,0
26727201,"Condition era record observed during anytime on or prior to cohort index:    26727-Hematemesis",201,26727,0
26727202,"Condition era record observed concurrent (overlapping) with cohort index:    26727-Hematemesis",202,26727,0
26823101,"Condition occurrence record observed during 365d on or prior to cohort index:  26823-Oral phase dysphagia",101,26823,0
26823201,"Condition era record observed during anytime on or prior to cohort index:    26823-Oral phase dysphagia",201,26823,0
26935151,"Condition occurrence record observed during 365d on or prior to cohort index within condition group:  26935-Disorder of endocrine testis",101,26935,0
26935251,"Condition era record observed during anytime on or prior to cohort index within condition group:  26935-Disorder of endocrine testis",201,26935,0
26942201,"Condition era record observed during anytime on or prior to cohort index:    26942-Hemoglobin SS disease with crisis",201,26942,0
27321101,"Condition occurrence record observed during 365d on or prior to cohort index:  27321-Persistent vomiting",101,27321,0
27321102,"Condition occurrence record observed during 30d on or prior to cohort index:  27321-Persistent vomiting",102,27321,0
27321201,"Condition era record observed during anytime on or prior to cohort index:    27321-Persistent vomiting",201,27321,0
27587201,"Condition era record observed during anytime on or prior to cohort index:    27587-Disturbance of salivary secretion",201,27587,0
27674101,"Condition occurrence record observed during 365d on or prior to cohort index:  27674-Nausea and vomiting",101,27674,0
27674102,"Condition occurrence record observed during 30d on or prior to cohort index:  27674-Nausea and vomiting",102,27674,0
27674103,"Condition occurrence record of primary inpatient diagnosis observed during 180d on or prior to cohort index:  27674-Nausea and vomiting",103,27674,0
27674201,"Condition era record observed during anytime on or prior to cohort index:    27674-Nausea and vomiting",201,27674,0
27674202,"Condition era record observed concurrent (overlapping) with cohort index:    27674-Nausea and vomiting",202,27674,0
28060101,"Condition occurrence record observed during 365d on or prior to cohort index:  28060-Streptococcal sore throat",101,28060,0
28060201,"Condition era record observed during anytime on or prior to cohort index:    28060-Streptococcal sore throat",201,28060,0
28385101,"Condition occurrence record observed during 365d on or prior to cohort index:  28385-Disorder of posterior pituitary",101,28385,0
28385201,"Condition era record observed during anytime on or prior to cohort index:    28385-Disorder of posterior pituitary",201,28385,0
28385251,"Condition era record observed during anytime on or prior to cohort index within condition group:  28385-Disorder of posterior pituitary",201,28385,0
28457201,"Condition era record observed during anytime on or prior to cohort index:    28457-Hypertrophy of tonsils",201,28457,0
28974101,"Condition occurrence record observed during 365d on or prior to cohort index:  28974-Candidiasis of the esophagus",101,28974,0
28974201,"Condition era record observed during anytime on or prior to cohort index:    28974-Candidiasis of the esophagus",201,28974,0
29056101,"Condition occurrence record observed during 365d on or prior to cohort index:  29056-Sialoadenitis",101,29056,0
29056201,"Condition era record observed during anytime on or prior to cohort index:    29056-Sialoadenitis",201,29056,0
29735101,"Condition occurrence record observed during 365d on or prior to cohort index:  29735-Candidiasis of mouth",101,29735,0
29735102,"Condition occurrence record observed during 30d on or prior to cohort index:  29735-Candidiasis of mouth",102,29735,0
29735103,"Condition occurrence record of primary inpatient diagnosis observed during 180d on or prior to cohort index:  29735-Candidiasis of mouth",103,29735,0
29735201,"Condition era record observed during anytime on or prior to cohort index:    29735-Candidiasis of mouth",201,29735,0
29735202,"Condition era record observed concurrent (overlapping) with cohort index:    29735-Candidiasis of mouth",202,29735,0
30133101,"Condition occurrence record observed during 365d on or prior to cohort index:  30133-Acute laryngitis",101,30133,0
30133201,"Condition era record observed during anytime on or prior to cohort index:    30133-Acute laryngitis",201,30133,0
30133251,"Condition era record observed during anytime on or prior to cohort index within condition group:  30133-Acute laryngitis",201,30133,0
30163101,"Condition occurrence record observed during 365d on or prior to cohort index:  30163-Cellulitis and abscess of neck",101,30163,0
30163201,"Condition era record observed during anytime on or prior to cohort index:    30163-Cellulitis and abscess of neck",201,30163,0
30234101,"Condition occurrence record observed during 365d on or prior to cohort index:  30234-Neck sprain",101,30234,0
30234102,"Condition occurrence record observed during 30d on or prior to cohort index:  30234-Neck sprain",102,30234,0
30234201,"Condition era record observed during anytime on or prior to cohort index:    30234-Neck sprain",201,30234,0
30346151,"Condition occurrence record observed during 365d on or prior to cohort index within condition group:  30346-Primary malignant neoplasm of neck",101,30346,0
30346251,"Condition era record observed during anytime on or prior to cohort index within condition group:  30346-Primary malignant neoplasm of neck",201,30346,0
30361101,"Condition occurrence record observed during 365d on or prior to cohort index:  30361-Hypoglycemic disorder",101,30361,0
30361151,"Condition occurrence record observed during 365d on or prior to cohort index within condition group:  30361-Hypoglycemic disorder",101,30361,0
30361152,"Condition occurrence record observed during 30d on or prior to cohort index within condition group:  30361-Hypoglycemic disorder",102,30361,0
30361153,"Condition occurrence record of primary inpatient diagnosis observed during 180d on or prior to cohort index within condition group:  30361-Hypoglycemic disorder",103,30361,0
30361201,"Condition era record observed during anytime on or prior to cohort index:    30361-Hypoglycemic disorder",201,30361,0
30361251,"Condition era record observed during anytime on or prior to cohort index within condition group:  30361-Hypoglycemic disorder",201,30361,0
30361252,"Condition era record observed concurrent (overlapping) with cohort index within condition group:  30361-Hypoglycemic disorder",202,30361,0
30437101,"Condition occurrence record observed during 365d on or prior to cohort index:  30437-Gastro-esophageal reflux disease with esophagitis",101,30437,0
30437102,"Condition occurrence record observed during 30d on or prior to cohort index:  30437-Gastro-esophageal reflux disease with esophagitis",102,30437,0
30437103,"Condition occurrence record of primary inpatient diagnosis observed during 180d on or prior to cohort index:  30437-Gastro-esophageal reflux disease with esophagitis",103,30437,0
30437201,"Condition era record observed during anytime on or prior to cohort index:    30437-Gastro-esophageal reflux disease with esophagitis",201,30437,0
30437202,"Condition era record observed concurrent (overlapping) with cohort index:    30437-Gastro-esophageal reflux disease with esophagitis",202,30437,0
30515101,"Condition occurrence record observed during 365d on or prior to cohort index:  30515-Congenital stenosis of esophagus",101,30515,0
30515201,"Condition era record observed during anytime on or prior to cohort index:    30515-Congenital stenosis of esophagus",201,30515,0
30753101,"Condition occurrence record observed during 365d on or prior to cohort index:  30753-Esophagitis",101,30753,0
30753102,"Condition occurrence record observed during 30d on or prior to cohort index:  30753-Esophagitis",102,30753,0
30753103,"Condition occurrence record of primary inpatient diagnosis observed during 180d on or prior to cohort index:  30753-Esophagitis",103,30753,0
